item,year,area_harvested_ha,production_t,yield_hg_per_ha,yield_t_per_ha,flag_rank,yield_t_per_ha_canon,area_harvested_ha_canon,production_t_canon,is_outlier_yield,is_outlier_area,is_outlier_prod,yield_t_per_ha_canon_lag1,area_harvested_ha_canon_lag1,production_t_canon_lag1,yield_t_per_ha_canon_lag2,area_harvested_ha_canon_lag2,production_t_canon_lag2,yield_t_per_ha_canon_lag3,area_harvested_ha_canon_lag3,production_t_canon_lag3,yield_canon_ma3,yield_canon_ma5,area_canon_growth_pct,production_canon_growth_pct,year_norm,flag_estimated,flag_imputed,flag_official,flag_unofficial
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1500.0,1360.0,9067.0,0.9067000000000001,2,0.9067000000000001,1500.0,1360.0,1.0,1.0,1.0,0.9067000000000001,1500.0,1360.0,0.9067000000000001,1500.0,1360.0,0.9067000000000001,1500.0,1360.0,0.9067000000000001,0.9067000000000001,,,0.0,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1969,500.0,400.0,8000.0,0.8,2,0.8,500.0,400.0,1.0,1.0,1.0,0.9067000000000001,1500.0,1360.0,0.9067000000000001,1500.0,1360.0,0.9067000000000001,1500.0,1360.0,0.85335,0.85335,-0.6666666666666667,-0.7058823529411764,0.018867924528301886,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1970,700.0,600.0,8571.0,0.8571000000000001,2,0.8571000000000001,700.0,600.0,1.0,1.0,1.0,0.8,500.0,400.0,0.9067000000000001,1500.0,1360.0,0.9067000000000001,1500.0,1360.0,0.8546,0.8546,0.3999999999999999,0.5,0.03773584905660377,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1971,200.0,100.0,5000.0,0.5,2,0.5,200.0,100.0,0.0,0.0,0.0,0.8571000000000001,700.0,600.0,0.8,500.0,400.0,0.9067000000000001,1500.0,1360.0,0.7190333333333333,0.76595,-0.7142857142857143,-0.8333333333333334,0.05660377358490566,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1972,400.0,300.0,7500.0,0.75,2,0.75,400.0,300.0,1.0,1.0,1.0,0.5,200.0,100.0,0.8571000000000001,700.0,600.0,0.8,500.0,400.0,0.7023666666666667,0.76276,1.0,2.0,0.07547169811320754,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1973,900.0,800.0,8889.0,0.8889,2,0.8889,900.0,800.0,1.0,1.0,1.0,0.75,400.0,300.0,0.5,200.0,100.0,0.8571000000000001,700.0,600.0,0.7129666666666666,0.7592000000000001,1.25,1.6666666666666665,0.09433962264150944,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1974,800.0,700.0,8750.0,0.875,2,0.875,800.0,700.0,1.0,1.0,1.0,0.8889,900.0,800.0,0.75,400.0,300.0,0.5,200.0,100.0,0.8379666666666666,0.7742000000000001,-0.11111111111111116,-0.125,0.11320754716981132,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1975,500.0,400.0,8000.0,0.8,2,0.8,500.0,400.0,1.0,1.0,1.0,0.875,800.0,700.0,0.8889,900.0,800.0,0.75,400.0,300.0,0.8546333333333335,0.76278,-0.375,-0.4285714285714286,0.1320754716981132,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1976,200.0,100.0,5000.0,0.5,2,0.5,200.0,100.0,0.0,0.0,0.0,0.8,500.0,400.0,0.875,800.0,700.0,0.8889,900.0,800.0,0.7250000000000001,0.76278,-0.6,-0.75,0.1509433962264151,1,0,0,0
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1977,500.0,400.0,8000.0,0.8,2,0.8,500.0,400.0,1.0,1.0,1.0,0.5,200.0,100.0,0.8,500.0,400.0,0.875,800.0,700.0,0.7000000000000002,0.77278,1.5,3.0,0.16981132075471697,1,0,0,0
